"국가(대륙)별","상품군별","판매유형별",2014 1/4,2014 2/4,2014 3/4,2014 4/4,2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4 p)
"중국","기 타","면세점",-,-,-,-,-,-,-,-,-,-,-,-,182,109,173,184,136,284,278,309,187,233,137,163,39
"중국","기 타","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,732,728,614,1159,1068,1628,975,1102,924,1259,947,1774,17836
"일본","합계","계",21685,17985,23165,27352,19616,18402,20480,27419,28047,32547,25127,35620,33516,31846,34213,38601,47704,47999,46968,51705,57286,55717,56897,55908,34720
"일본","합계","면세점",-,-,-,-,-,-,-,-,-,-,-,-,3880,3368,2557,2929,3302,3289,3855,5836,7238,9138,10449,10391,2129
"일본","합계","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,29636,28478,31656,35672,44402,44710,43113,45869,50048,46579,46448,45517,32591
"일본","컴퓨터 및 주변기기","계",71,56,55,65,64,49,46,35,49,44,43,45,26,29,38,35,27,42,70,25,34,28,13,63,36
"일본","컴퓨터 및 주변기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"일본","컴퓨터 및 주변기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,26,29,38,35,27,42,70,25,34,28,13,63,36
"일본","가전·전자·통신기기","계",826,713,806,980,673,571,629,714,804,856,595,854,698,695,800,678,824,672,742,190,833,703,820,440,117
"일본","가전·전자·통신기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,18,21,71,41,63,21,64,45,36,45,113,258,7
"일본","가전·전자·통신기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,680,674,729,637,761,651,678,145,797,658,707,182,110
"일본","소프트웨어","계",11,13,11,21,14,6,10,0,2,2,1,3,2,2,1,3,2,2,2,1,5,7,1,1,1
"일본","소프트웨어","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"일본","소프트웨어","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,3,2,2,2,1,5,7,1,1,1
"일본","서 적","계",18,20,31,21,21,24,34,32,53,42,47,58,89,76,38,42,64,58,36,84,73,108,191,202,134
"일본","서 적","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"일본","서 적","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,89,76,38,42,64,58,36,84,73,108,191,202,134
"일본","사무·문구","계",1228,894,5139,7444,434,407,439,461,495,495,353,550,537,451,429,389,510,445,523,223,729,735,855,375,329
"일본","사무·문구","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"일본","사무·문구","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,537,451,429,389,510,445,523,223,729,735,855,375,329
"일본","음반·비디오·악기","계",27,18,32,22,429,449,461,335,670,182,225,350,537,715,899,673,936,1281,1122,3679,2433,1632,2592,2055,1788
"일본","음반·비디오·악기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"일본","음반·비디오·악기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,537,715,899,673,936,1281,1122,3679,2433,1632,2592,2055,1788
"일본","의류 및 패션관련 상품","계",13534,11782,11408,12236,12456,11868,14005,19265,18776,20580,16361,24188,20547,20214,22762,27061,34571,34982,33399,33848,36670,35427,31800,30346,23007
"일본","의류 및 패션관련 상품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,412,317,353,417,431,477,523,627,569,808,851,871,76
"일본","의류 및 패션관련 상품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,20135,19897,22409,26644,34140,34505,32876,33221,36101,34619,30949,29475,22931
"일본","스포츠·레저용품","계",604,202,316,346,144,108,117,130,135,229,131,173,181,179,174,156,206,216,209,165,241,185,218,133,95
"일본","스포츠·레저용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"일본","스포츠·레저용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,181,179,174,156,206,216,209,165,241,185,218,133,95
"일본","화장품","계",1034,781,646,939,874,1223,1671,2832,2080,2466,2765,4034,5018,4028,3748,4204,4425,3577,4465,6313,8327,9592,11800,13970,3486
"일본","화장품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,3332,2944,2031,2358,2694,2666,3141,5003,6432,8027,9296,9028,2023
"일본","화장품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1686,1084,1717,1846,1731,911,1324,1310,1895,1565,2504,4942,1463
"일본","아동·유아용품","계",83,33,110,199,29,24,19,44,44,83,39,68,52,43,28,40,50,53,50,102,78,166,150,191,65
"일본","아동·유아용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,4,2,2
"일본","아동·유아용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,52,43,28,40,50,53,50,102,78,165,146,189,63
"일본","음·식료품","계",186,116,177,316,606,475,159,190,848,3144,153,530,695,391,149,186,435,435,358,1019,990,706,922,1157,533
"일본","음·식료품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,118,86,102,113,114,125,127,161,201,257,185,232,21
"일본","음·식료품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,577,305,47,73,321,310,231,858,789,449,737,925,512
"일본","농축수산물","계",10,9,15,16,19,16,31,15,13,1,2,1,1,3,0,0,2,2,2,0,0,6,2,10,1
"일본","농축수산물","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"일본","농축수산물","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,0,2,2,2,0,0,6,2,10,1
"일본","생활용품 및 자동차용품","계",1042,609,927,1409,490,385,244,285,646,642,510,750,735,695,698,661,919,858,888,544,1590,986,1291,1113,936
"일본","생활용품 및 자동차용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"일본","생활용품 및 자동차용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,735,695,698,661,919,858,888,544,1590,986,1291,1113,936
"일본","기 타","계",3011,2739,3492,3338,3363,2797,2615,3081,3432,3781,3902,4016,4398,4325,4449,4473,4733,5376,5102,5512,5283,5436,6242,5852,4192
"일본","기 타","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"일본","기 타","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,4398,4325,4449,4473,4733,5376,5102,5512,5283,5436,6242,5852,4192
"아세안(ASEAN)","합계","계",10734,10982,11473,12122,12842,13411,15076,17029,16871,18837,16600,23188,20621,18971,22865,45446,41231,41292,37454,45996,45781,47856,53846,57276,47515
"아세안(ASEAN)","합계","면세점",-,-,-,-,-,-,-,-,-,-,-,-,351,452,16922,24015,24643,23714,19969,21197,26758,28011,34115,29814,25334
"아세안(ASEAN)","합계","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,20270,18519,5943,21431,16588,17578,17485,24799,19023,19845,19731,27462,22181
"아세안(ASEAN)","컴퓨터 및 주변기기","계",136,136,172,190,217,140,136,174,215,233,195,116,314,293,89,75,342,283,82,139,328,321,96,79,284
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,2,0,0,0,0,0
"아세안(ASEAN)","컴퓨터 및 주변기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,314,293,89,75,342,283,82,137,328,321,96,79,284
"아세안(ASEAN)","가전·전자·통신기기","계",2896,3005,3073,3183,2499,2853,3518,3772,3463,3237,2577,3368,2200,2482,2536,3962,3754,2503,2596,2729,2722,3246,3951,5162,5218
"아세안(ASEAN)","가전·전자·통신기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,31,46,994,1667,2072,718,816,546,470,1093,1729,2350,1792
"아세안(ASEAN)","가전·전자·통신기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,2169,2436,1542,2295,1682,1785,1780,2183,2252,2153,2222,2812,3426
"아세안(ASEAN)","소프트웨어","계",19,17,18,27,149,50,27,9,6,15,3,2,3,1,3,13,6,17,13,6,3,4,1,0,2
"아세안(ASEAN)","소프트웨어","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"아세안(ASEAN)","소프트웨어","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,3,1,3,13,6,17,13,6,3,4,1,0,2
"아세안(ASEAN)","서 적","계",161,183,215,145,155,166,218,242,239,642,445,792,1012,829,1825,1918,1376,1998,2023,2131,1123,1209,854,1248,1121
"아세안(ASEAN)","서 적","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"아세안(ASEAN)","서 적","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1012,829,1825,1918,1376,1998,2023,2131,1123,1209,854,1248,1121
"아세안(ASEAN)","사무·문구","계",809,829,860,1001,549,617,679,766,688,714,617,893,611,660,705,604,411,422,444,569,569,546,561,698,882
"아세안(ASEAN)","사무·문구","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"아세안(ASEAN)","사무·문구","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,611,660,705,604,411,422,444,569,569,546,561,698,882
"아세안(ASEAN)","음반·비디오·악기","계",101,111,139,88,151,133,96,99,538,605,479,743,1115,806,2222,1810,1409,2006,2200,3468,1524,2546,1689,1875,2440
"아세안(ASEAN)","음반·비디오·악기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"아세안(ASEAN)","음반·비디오·악기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1115,806,2222,1810,1409,2006,2200,3468,1524,2546,1689,1875,2440
"아세안(ASEAN)","의류 및 패션관련 상품","계",3473,3606,3741,4116,4018,4269,5318,6034,5600,5914,5100,7864,5704,5315,5073,6579,4955,5889,5572,6652,6533,7271,7760,9653,8349
"아세안(ASEAN)","의류 및 패션관련 상품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,17,43,540,764,1092,1209,1076,862,988,1346,1868,1625,1296
"아세안(ASEAN)","의류 및 패션관련 상품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,5687,5272,4533,5815,3863,4680,4496,5790,5545,5925,5892,8028,7053
"아세안(ASEAN)","스포츠·레저용품","계",873,911,887,925,1304,1400,1530,1735,1665,1731,1441,2023,1571,1648,1576,1515,1242,1322,1300,1509,1581,1448,1364,1705,2107
"아세안(ASEAN)","스포츠·레저용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,0,0,0,0,0,0
"아세안(ASEAN)","스포츠·레저용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1569,1648,1576,1515,1242,1322,1300,1509,1581,1448,1364,1705,2107
"아세안(ASEAN)","화장품","계",398,397,383,527,1452,1255,882,1476,1775,2490,3027,3481,4845,3627,5265,25399,23341,23083,19443,24768,27334,27532,34660,30300,23011
"아세안(ASEAN)","화장품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,283,346,15268,21363,21180,21311,17585,19401,25017,25259,30136,25505,22093
"아세안(ASEAN)","화장품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,4562,3281,-10003,4036,2161,1772,1858,5367,2317,2273,4524,4795,918
"아세안(ASEAN)","아동·유아용품","계",94,91,103,103,180,154,92,288,316,573,519,834,860,1131,1217,1181,1194,1360,1435,1678,1473,1432,860,1344,1113
"아세안(ASEAN)","아동·유아용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,3,1,0
"아세안(ASEAN)","아동·유아용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,860,1131,1217,1181,1194,1360,1435,1678,1473,1431,857,1343,1113
"아세안(ASEAN)","음·식료품","계",247,303,288,255,320,303,270,79,176,435,250,281,256,201,264,414,535,668,704,554,818,553,567,601,652
"아세안(ASEAN)","음·식료품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,15,17,120,221,299,476,492,384,282,312,379,333,153
"아세안(ASEAN)","음·식료품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,241,184,144,193,236,192,212,170,536,241,188,268,499
"아세안(ASEAN)","농축수산물","계",93,111,116,158,143,137,178,3,2,40,10,14,11,7,11,13,11,12,10,9,7,7,7,12,7
"아세안(ASEAN)","농축수산물","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"아세안(ASEAN)","농축수산물","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,11,7,11,13,11,12,10,9,7,7,7,12,7
"아세안(ASEAN)","생활용품 및 자동차용품","계",1053,1082,1125,1146,1476,1613,1823,2003,1874,1836,1646,2482,1815,1639,1734,1589,1283,1291,1257,1260,1383,1371,1236,1613,1803
"아세안(ASEAN)","생활용품 및 자동차용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"아세안(ASEAN)","생활용품 및 자동차용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1815,1639,1734,1589,1283,1291,1257,1260,1383,1371,1236,1613,1803
"아세안(ASEAN)","기 타","계",381,200,353,258,229,321,309,349,314,372,291,295,304,332,345,374,1372,438,375,524,383,370,240,2986,526
"아세안(ASEAN)","기 타","면세점",-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,0,0,0,0,2,1,0,0,0,0
"아세안(ASEAN)","기 타","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,301,332,345,374,1372,438,375,522,382,370,240,2986,526
"EU","합계","계",7023,6345,5688,5626,4453,4319,4835,6839,7575,7379,7085,8191,7752,6948,8070,8846,10525,8616,8463,9962,9771,10358,7336,12679,10311
"EU","합계","면세점",-,-,-,-,-,-,-,-,-,-,-,-,165,97,86,200,446,106,91,97,231,477,241,206,294
"EU","합계","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,7587,6851,7984,8646,10079,8510,8372,9865,9540,9881,7095,12473,10017
"EU","컴퓨터 및 주변기기","계",741,630,500,461,270,259,292,358,361,353,385,550,455,280,406,430,1030,630,655,852,633,715,513,617,694
"EU","컴퓨터 및 주변기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU","컴퓨터 및 주변기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,455,280,406,430,1030,630,655,852,633,715,513,617,694
"EU","가전·전자·통신기기","계",1532,1424,1257,1214,831,751,683,867,879,1103,1055,1267,958,773,1073,966,844,610,573,578,605,589,428,2058,644
"EU","가전·전자·통신기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,4,9,3,4,6,7,5,8,2,7,5,7,1
"EU","가전·전자·통신기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,954,764,1070,962,838,603,568,570,603,582,423,2051,643
"EU","소프트웨어","계",48,34,25,35,40,20,20,31,37,27,24,20,22,14,19,49,28,34,45,97,28,26,12,28,26
"EU","소프트웨어","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU","소프트웨어","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,22,14,19,49,28,34,45,97,28,26,12,28,26
"EU","서 적","계",13,14,14,21,17,14,21,25,24,24,29,40,47,30,50,66,62,70,71,68,59,55,48,95,72
"EU","서 적","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU","서 적","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,47,30,50,66,62,70,71,68,59,55,48,95,72
"EU","사무·문구","계",7,5,5,1,3,3,3,5,11,12,19,18,16,14,774,12,27,17,9,13,11,11,4,10,8
"EU","사무·문구","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,0,0,0
"EU","사무·문구","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,16,14,774,12,27,17,9,13,11,10,4,10,8
"EU","음반·비디오·악기","계",624,476,624,513,420,518,619,794,494,536,586,873,841,779,1172,1437,1400,1419,1808,2120,1958,2350,1502,2697,2728
"EU","음반·비디오·악기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU","음반·비디오·악기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,841,779,1172,1437,1400,1419,1808,2120,1958,2350,1502,2697,2728
"EU","의류 및 패션관련 상품","계",1364,1228,952,941,676,687,674,1337,1319,1289,1088,1203,926,796,916,1098,1230,1056,886,942,985,1054,793,862,803
"EU","의류 및 패션관련 상품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,13,8,10,14,25,21,17,12,15,22,12,15,6
"EU","의류 및 패션관련 상품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,913,788,906,1084,1205,1035,869,930,970,1032,781,847,797
"EU","스포츠·레저용품","계",234,189,157,162,128,108,97,224,180,174,157,192,177,153,107,200,233,198,173,204,213,188,799,205,209
"EU","스포츠·레저용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU","스포츠·레저용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,177,153,107,200,233,198,173,204,213,188,799,205,209
"EU","화장품","계",937,885,802,804,852,836,1242,1928,2583,2277,2005,2095,2505,2362,1986,2686,3433,2815,2564,2993,3337,3487,2105,3912,3108
"EU","화장품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,143,70,61,176,411,71,61,71,206,436,214,179,283
"EU","화장품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,2362,2292,1925,2510,3022,2744,2503,2922,3131,3051,1891,3733,2825
"EU","아동·유아용품","계",266,231,212,278,194,182,205,274,204,267,293,402,316,259,275,343,347,292,287,374,329,312,195,417,367
"EU","아동·유아용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU","아동·유아용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,316,259,275,343,347,292,287,374,329,312,195,417,367
"EU","음·식료품","계",87,80,70,132,100,77,66,26,24,28,23,35,25,29,27,42,31,25,22,27,26,23,18,19,16
"EU","음·식료품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,5,10,12,6,4,7,8,6,8,11,10,5,4
"EU","음·식료품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,20,19,15,36,27,18,14,21,18,12,8,14,12
"EU","농축수산물","계",37,40,36,49,46,38,41,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"EU","농축수산물","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU","농축수산물","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,0,0,3,0,0,0,0,0,0,0,0,0,0
"EU","생활용품 및 자동차용품","계",608,627,561,563,480,439,443,489,919,667,705,721,733,697,544,654,739,639,610,637,665,622,383,845,694
"EU","생활용품 및 자동차용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU","생활용품 및 자동차용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,733,697,544,654,739,639,610,637,665,622,383,845,694
"EU","기 타","계",525,482,473,452,396,387,429,481,540,622,716,775,731,762,718,863,1121,811,760,1057,922,926,536,914,942
"EU","기 타","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU","기 타","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,731,762,718,863,1121,811,760,1057,922,926,536,914,942
"중동","합계","계",2262,2242,2101,2299,2187,2223,2095,2413,2187,2116,1775,2041,1918,1772,1864,2476,1708,1864,1947,2504,2252,2475,1826,2742,2171
"중동","합계","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,4,0,0,0,0,0
"중동","합계","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1918,1772,1864,2476,1708,1864,1947,2500,2252,2475,1826,2742,2171
"중동","컴퓨터 및 주변기기","계",145,181,152,129,119,124,125,128,112,107,113,151,93,71,79,301,48,58,67,77,98,96,62,79,61
"중동","컴퓨터 및 주변기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"중동","컴퓨터 및 주변기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,93,71,79,301,48,58,67,77,98,96,62,79,61
"중동","가전·전자·통신기기","계",665,693,608,716,535,585,479,572,425,369,306,364,351,338,313,262,172,153,181,193,155,155,168,356,157
"중동","가전·전자·통신기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"중동","가전·전자·통신기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,351,338,313,262,172,153,181,193,155,155,168,356,157
"중동","소프트웨어","계",7,2,5,14,32,14,26,41,44,14,4,3,2,1,3,8,3,7,22,4,4,12,3,1,2
"중동","소프트웨어","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"중동","소프트웨어","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,8,3,7,22,4,4,12,3,1,2
"중동","서 적","계",4,7,4,4,4,5,12,10,13,23,24,27,23,23,43,42,43,60,58,72,58,81,55,100,98
"중동","서 적","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
